date,item,備註,日幣,手續費,台幣,手續費,payment,分類
18,GU,衣服,"8,510",127,,,玉山卡,衣服
18,UNIQLO,衣服,"8,491",127,,,玉山卡,衣服
18,UNIQLO,衣服,"8,164",122,,,玉山卡,衣服
18,黑門壽司,午餐,"9,341",140,,,玉山卡,食品
18,黑門中川,消夜,"7,769",116,,,玉山卡,食品
18,麥當勞,,,,248,,PAYPAY(玉山),食品
18,全家,,,,68,,PAYPAY(玉山),食品
18,LAWSON,,,,187,,PAYPAY(玉山),食品
19,JUMP SHOP,動漫,"2,750",41,,,玉山卡,動漫
19,DONKI,零食,"1,754",26,,,玉山卡,食品
19,DONKI,零食,"9,995",149,,,玉山卡,食品
19,咖啡廳,,,,359,,PAYPAY(玉山),食品
19,全家,,,,325,,PAYPAY(玉山),食品
20,XEBIO,鞋子,,,"2,355",36,台新卡,衣服
20,黑門壽司,午餐,"3,564",53,,,玉山卡,食品
20,黑門中川,消夜,"5,418",81,,,玉山卡,食品
20,ABC-MART,鞋子,"10,480",157,,,玉山卡,衣服
20,全家,,,,99,,PAYPAY(玉山),食品
20,LAWSON,,,,36,,PAYPAY(玉山),食品
20,麥當勞,,,,688,,PAYPAY(玉山),食品
21,一番賞,航海王,,,157,3,台新卡,動漫
21,烏龍麵,午餐,,,596,9,台新卡,食品
21,烏龍麵,午餐,,,138,3,台新卡,食品
21,大創,衣架,,,22,1,台新卡,其他
21,一番賞,七龍珠,,,159,3,台新卡,動漫
21,一番賞,七龍珠,,,159,3,台新卡,動漫
21,book-off,公仔,,,417,7,台新卡,動漫
21,定食,晚餐,,,185,3,台新卡,食品
21,定食,晚餐,,,197,3,台新卡,食品
21,定食,晚餐,,,227,4,台新卡,食品
21,定食,晚餐,,,255,4,台新卡,食品
21,UNIQLO,衣服,790,11,,,玉山卡,衣服
22,大阪燒定食,午餐,,,898,14,台新卡,食品
22,銀閣寺,花生,,,129,2,台新卡,食品
22,甜點店,抹茶,,,319,5,台新卡,食品
22,指南針,公仔,,,397,6,台新卡,動漫
22,沾麵,晚餐,,,788,12,台新卡,食品
22,烏龍麵,晚餐,,,343,6,台新卡,食品
22,一番賞,航海王,,,299,5,台新卡,動漫
22,超市,,,,"1,704",26,台新卡,食品
22,羊羹,,,,50,,PAYPAY(玉山),食品
23,甜點店,抹茶,,,636,10,台新卡,食品
23,平等院,門票,,,499,8,台新卡,其他
23,平等院,明信片,,,70,2,台新卡,其他
23,甜點店,抹茶粉,,,173,3,台新卡,食品
23,甜點店,伴手禮,,,"1,124",17,台新卡,食品
23,甜點店,抹茶,,,237,4,台新卡,食品
23,甜點店,銅鑼燒,,,86,2,台新卡,食品
23,超市,果凍,,,149,3,台新卡,食品
23,甜點店,抹茶,,,120,2,台新卡,食品
23,燒肉,晚餐,,,"1,086",17,台新卡,食品
23,一番賞,刃牙,,,679,11,台新卡,動漫
23,超市,,,,992,15,台新卡,食品
23,車票,機場巴士,,,"2,236",34,台新卡,其他
23,7-11,果昔,,,148,3,台新卡,食品
24,甜點店,伴手禮,,,658,10,台新卡,食品
24,飲料店,飲料,,,517,8,台新卡,食品
24,冷面,午餐,,,"1,064",16,台新卡,食品
24,IP書店,立牌,,,350,6,台新卡,動漫
24,IP書店,立牌,,,350,6,台新卡,動漫
24,宜得利,保溫杯,,,410,7,台新卡,其他
24,3coins,手提袋,,,219,4,台新卡,其他
24,甜點店,抹茶,,,427,7,台新卡,食品
24,甜點店,造型燒,,,139,3,台新卡,食品
24,藥妝店,零食,,,456,7,台新卡,藥妝
24,豬排套餐定食,晚餐,,,"1,190",18,台新卡,食品
24,一番賞,航海王,,,157,3,台新卡,動漫
24,一番賞,航海王,,,157,3,台新卡,動漫
24,IP 書店,動漫,"1,760",26,,,玉山卡,動漫
24,DONKI,零食,"9,741",146,,,玉山卡,食品
25,甜點店,冰淇淋,,,329,5,台新卡,食品
25,7-11,飲料,,,488,8,台新卡,食品
25,book-off,公仔,,,261,4,台新卡,動漫
25,大創,鎖,,,281,5,台新卡,其他
25,ABC MART,鞋子,,,"1,582",24,台新卡,衣服
25,全家,炸雞,,,314,5,台新卡,食品
26,7-11,飲料,,,106,2,台新卡,食品
26,超市,零食,,,227,4,台新卡,食品
26,拉麵,午餐,,,855,13,台新卡,食品
26,二條城,門票,,,554,9,台新卡,其他
26,caco,衣服,,,297,5,台新卡,衣服
26,一番賞,膽大黨,,,162,3,台新卡,動漫
26,蛋包飯,晚餐,,,"1,130",17,台新卡,食品
26,一番賞,航海王,,,469,8,台新卡,動漫
26,機場免稅店,香菸,,,"3,147",48,台新卡,其他
26,機場免稅店,梅酒,,,"1,544",24,台新卡,食品
26,機場免稅店,餅乾,,,"4,485",68,台新卡,食品
,,,,,,,,
總計,,,"88,527","1,322","42,364",636,,
,,,,"89,849",,"43,000",,
